zpid,Zip,cluster_label,cluster_description,PC1,PC2,PhotoLink
2084491383,78660,0,High Class Living,-0.68752957,1.940812114,https://photos.zillowstatic.com/fp/a2ad649e1a7a098111dcea084a11c855-p_f.jpg
29374483,78750,0,High Class Living,2.872218953,-0.019227043,https://photos.zillowstatic.com/fp/d8dc18af641024d419e64be0f3077999-p_f.jpg
29375979,78750,0,High Class Living,2.810014054,2.341491673,https://photos.zillowstatic.com/fp/ce1a0b7a73467dde6f89e6d44806af8e-p_f.jpg
29375978,78750,0,High Class Living,2.678974209,2.298123125,https://photos.zillowstatic.com/fp/4ed7a2e168f1bf6816488f49be8c6f5d-p_f.jpg
29373974,78750,0,High Class Living,2.317372198,0.665411057,https://photos.zillowstatic.com/fp/63156988f43efa7c8066bdf9447cffcd-p_f.jpg
29375973,78750,0,High Class Living,4.153378498,-1.067509657,https://photos.zillowstatic.com/fp/cd7ca8a6c4aa99a615309ae1224fb5f5-p_f.jpg
29375972,78750,0,High Class Living,0.780043332,4.057478986,https://photos.zillowstatic.com/fp/a73d2411f33138da0a0cb6218092bcca-p_f.jpg
58300466,78750,0,High Class Living,2.71246638,-0.091964344,https://photos.zillowstatic.com/fp/0303dac26e7b0926b6b693edc6027d0b-p_f.jpg
29438720,78753,0,High Class Living,0.1705957,0.002607,https://photos.zillowstatic.com/fp/a9ef0fddf50272923c0fc3130235375e-p_f.jpg
29438718,78753,0,High Class Living,0.088036678,2.754500196,https://photos.zillowstatic.com/fp/d6f2e8851b352d595e9bd422048e4451-p_f.jpg
29376465,78726,0,High Class Living,4.383869293,0.756019875,https://photos.zillowstatic.com/fp/881a628ffeeb70cb393eb396cdc375cf-p_f.jpg
29372965,78750,0,High Class Living,1.982621494,3.691635864,https://photos.zillowstatic.com/fp/c97da14544888d362d191e711f3a1917-p_f.jpg
29375964,78750,0,High Class Living,3.358882111,-1.161411912,https://photos.zillowstatic.com/fp/6dff57217d6ef21f33f6651676583935-p_f.jpg
2087686692,78660,0,High Class Living,1.063750239,-1.31023838,https://photos.zillowstatic.com/fp/49ee480b769bbce82c2abf2ebc3dc82d-p_f.jpg
29373963,78750,0,High Class Living,3.054336613,0.756398673,https://photos.zillowstatic.com/fp/5fbfaaae835da52f901d51cf62e1111d-p_f.jpg
29375962,78750,0,High Class Living,1.567630045,2.913917824,https://photos.zillowstatic.com/fp/525ddae8405ecf028afc9a228145ef5c-p_f.jpg
29344952,78733,0,High Class Living,2.798263164,4.007636516,https://photos.zillowstatic.com/fp/812b45ac282512a4342da757f0ea6ca0-p_f.jpg
29374462,78750,0,High Class Living,2.645875103,2.274876498,https://photos.zillowstatic.com/fp/03b3f7dbcecd00b2e3e01ba0a2dc803f-p_f.jpg
29343457,78746,0,High Class Living,5.240913823,1.697411769,https://photos.zillowstatic.com/fp/782eb38ca7aec881bf1bb459f0e74851-p_f.jpg
29344951,78733,0,High Class Living,3.727941766,1.144991661,https://photos.zillowstatic.com/fp/8940f352dad235dffb014cb5c9f5420c-p_f.jpg
29377461,78726,0,High Class Living,4.007001412,0.764970802,https://photos.zillowstatic.com/fp/2e3ab16bc942344eff0a01755c9035c5-p_f.jpg
29343454,78746,0,High Class Living,3.760515844,0.972828369,https://photos.zillowstatic.com/fp/2ce8ecb6bc9596a41cfeb76f1dc96148-p_f.jpg
29375958,78750,0,High Class Living,2.684277354,3.852192582,https://photos.zillowstatic.com/fp/991ea7eca2194916ad05991409f2762f-p_f.jpg
29341440,78746,0,High Class Living,8.203516416,0.416645992,https://photos.zillowstatic.com/fp/28404cc9a1b0b18f7cc8e563561d9035-p_f.jpg
29344947,78733,0,High Class Living,3.810752367,2.992174576,https://photos.zillowstatic.com/fp/00a4e78008dd99f67d2a07f8540fe00b-p_f.jpg
29344946,78733,0,High Class Living,2.964277949,2.516240891,https://photos.zillowstatic.com/fp/f69d74e4eac42d1d8c863d4fc501366a-p_f.jpg
89550945,78733,0,High Class Living,6.500680678,1.577603935,https://photos.zillowstatic.com/fp/b2a23995e269ca32592a8c6eb05f552d-p_f.jpg
29341439,78746,0,High Class Living,6.526927863,1.631117393,https://photos.zillowstatic.com/fp/66367581b58b75e9121aff0517d07b42-p_f.jpg
29377453,78750,0,High Class Living,3.055036038,1.169257151,https://photos.zillowstatic.com/fp/e982423626835609f11ba8a60855e5bf-p_f.jpg
29377451,78750,0,High Class Living,2.71458367,3.82270991,https://photos.zillowstatic.com/fp/c5ba0e9b5dcf620d0529ca2be7ecefa0-p_f.jpg
29341434,78746,0,High Class Living,5.826464123,5.315244708,https://photos.zillowstatic.com/fp/a52fe887c084ca3084691089c56fac55-p_f.jpg
70323938,78733,0,High Class Living,5.112766346,4.610007816,https://photos.zillowstatic.com/fp/0fdc3420fdd1b493e484f3fe15a78c47-p_f.jpg
29346937,78733,0,High Class Living,2.450737822,0.598938467,https://photos.zillowstatic.com/fp/d7ab5c99ee189f8dab39af98b94cfa97-p_f.jpg
29341421,78746,0,High Class Living,6.307895826,1.077688558,https://photos.zillowstatic.com/fp/87d59fd892fd980e23ebed0337a75bc7-p_f.jpg
29375949,78750,0,High Class Living,1.405064026,3.491706129,https://photos.zillowstatic.com/fp/13819116a23df1d6aef08c51d8caebca-p_f.jpg
29344936,78733,0,High Class Living,2.473021001,4.664443886,https://photos.zillowstatic.com/fp/354d8c0e4f8a227ad291de51c36d28d7-p_f.jpg
249912949,78660,0,High Class Living,0.061794028,2.322658446,https://photos.zillowstatic.com/fp/1218bd731eaa3e4b42dbde731fb652a5-p_f.jpg
29344920,78733,0,High Class Living,14.28523444,3.506360786,https://maps.googleapis.com/maps/api/streetview?location=2105+Island+Wood+Rd%2C+Austin%2C+TX+78733&size=1025x768&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=mzamHaQ0V3uM_wO9wAqmtl63nhU=
58297915,78746,0,High Class Living,6.999212769,4.595713386,https://photos.zillowstatic.com/fp/310836bafa301bd0140d24986d34250a-p_f.jpg
